CC_PaymentRequest C:true D:false W:true R:90
USER_ChooseAlternative C:true D:false W:true R:94
PP_PaymentRequest C:true D:false W:true R:95
TO_DefineGoal C:true D:false W:true R:94
TC_RegistrationRequest C:true D:false W:true R:99
SMC_MobilityCardRequest C:true D:false W:true R:97
SMC_ActivateServiceReply C:true D:false W:true R:92
PM_PaymentReply C:true D:false W:true R:92
CS_CarReservationDetails C:true D:false W:true R:90
RM_PickupPointReply C:true D:false W:true R:90
UMS_TripAlternatives C:true D:false W:true R:98
CS_DetailsAssessed C:true D:true W:false R:90
FC_RegistrationRequest C:true D:false W:true R:99
TC_TrainBookingRequest C:true D:false W:true R:90
MMP_PlanResponse C:true D:true W:false R:90
TO_ChosenTrip C:true D:false W:true R:91
UMS_SecurityAndPrivacyFiltering C:true D:false W:true R:94
RP_PayTicket C:true D:false W:true R:93
TC_BookingResult C:true D:false W:true R:90
UMS_TripRequest C:true D:false W:true R:90
PM_PaymentRequest C:true D:false W:true R:99
RP_ConfirmationRequest C:true D:false W:true R:93
TC_PayTicket C:true D:false W:true R:96
SMC_VerifyAmountRequest C:true D:false W:true R:95
CS_CarReservationReply C:true D:false W:true R:94
BS_RegistrationAck C:true D:false W:true R:96
FC_ConfirmAndPay C:true D:false W:true R:94
FC_FlexibusBookingRequest C:true D:false W:true R:93
BS_UpdateSmartMobilityCard C:true D:false W:true R:92
CC_PaymentReply C:true D:false W:true R:97
FC_BookingResult C:true D:false W:true R:97
FC_RegistrationAck C:true D:false W:true R:99
TC_RegistrationAck C:true D:false W:true R:94
SMC_ActivateServiceRequest C:true D:false W:true R:94
TO_HOAAorganizeTrip C:true D:false W:true R:95
SMC_VerifyAmountReply C:true D:false W:true R:94
RM_PickupPointRequest C:true D:false W:true R:92
CS_MembershipReply C:true D:false W:true R:95
BS_RegistrationRequest C:true D:false W:true R:99
UMS_UtilityRanking C:true D:true W:false R:94
CS_MembershipRequest C:true D:false W:true R:92
MMP_PlanRequest C:true D:false W:true R:95
CS_CarReservationRequest C:true D:false W:true R:96
CS_UpdateSmartMobilityCard C:true D:false W:true R:97
SMC_MobilityCardReply C:true D:false W:true R:97
USER_executeTrip C:true D:false W:true R:93
PP_PaymentReply C:true D:false W:true R:90
PM_ExecutePayment C:true D:false W:true R:94
RP_ConfirmationStatus C:true D:false W:true R:90
### New Activities added below this line ###
RM_AssignPickupPoint C:true D:false W:true R:92
RM_RouteSoldOut C:true D:false W:true R:93
FD_PickupPointReached C:true D:false W:true R:93
FC_SetPassengerDetails C:true D:false W:true R:97
FD_ExitFromRouteEnsemble C:true D:false W:true R:91
RP_WaitFlexibus C:true D:true W:false R:95
RM_ExitFromRouteEnsemble C:true D:false W:true R:99
RP_PassengerDetails C:true D:true W:false R:95
FC_UserRegistrationAck C:true D:false W:true R:90
RP_WaitFlexibusReply C:true D:true W:false R:93
